model,batch_size,learning_rate,epoch,train_accuracy,train_loss,validation_accuracy,validation_loss,with_ReduceLROnPlateau,with_weight_decay
VGG19,32,'0.001',1,88.02159660624758,0.3642342176765497,94.68807906114884,0.1679452433360412,True,True
VGG19,32, '0.001',1,88.02159660624758,0.3642342176765497,94.68807906114884,0.1679452433360412,True,True
VGG19,32, '0.001',2,93.03509448515231,0.2040571733263179,94.13218035824583,0.165291893478556,True,True
VGG19,32, '0.001',3,94.10721172387196,0.1723042013297967,95.55281037677578,0.1251521393583685,True,True
VGG19,32, '0.001',4,94.38488237562667,0.1544905699229813,95.55281037677578,0.1216701764850786,True,True
VGG19,32, '0.001',5,94.69340532202082,0.1457053314288848,95.73810994441013,0.1208165088969775,True,True
VGG19,32, '0.001',6,95.20246818357116,0.1416273909836567,96.23224212476838,0.1053885998861754,True,True
VGG19,32, '0.001',7,95.27959892016968,0.1308164894076183,96.7881408276714,0.0994484410278827,True,True
VGG19,32, '0.001',8,95.77323563440032,0.1212539584926453,96.54107473749228,0.1005560265278772,True,True
VGG19,32, '0.001',9,95.73467026610103,0.1220478473088974,96.60284126003704,0.1030964632701201,True,True
VGG19,32, '0.001',10,95.90435788661782,0.1141488646166261,96.7881408276714,0.0874339509561347,True,True
VGG19,32, '0.001',11,96.05861935981488,0.1088096227960229,96.97344039530574,0.0843049720107742,True,True
VGG19,32, '0.001',12,95.94292325491708,0.1109869301346649,97.03520691785052,0.0820457382862657,True,True
VGG19,32, '0.001',13,96.03548013883533,0.1077199414248573,96.60284126003704,0.0889681934735135,True,True
VGG19,32, '0.001',14,95.9583494022368,0.1066078528683871,96.72637430512664,0.0842564573246693,True,True
VGG19,32, '0.001',15,96.25144620131124,0.100948998245773,95.92340951204449,0.1074409163454273,True,True
VGG19,32, '0.001',16,96.104897801774,0.1044492075905625,95.79987646695491,0.1025786523789386,True,True
VGG19,32, '0.001',17,96.38256845352872,0.0978253843168741,97.4058060531192,0.075746433154278,True,True
VGG19,32, '0.001',18,96.56768222136522,0.0971074201951716,97.34403953057443,0.0717365497117748,True,True
VGG19,32, '0.001',19,96.61396066332432,0.0946863519309978,97.34403953057443,0.0722847882345519,True,True
VGG19,32, '0.001',20,96.61396066332432,0.0910939140132917,97.15873996294007,0.0757826283333284,True,True
VGG19,32, '0.001',21,96.66023910528344,0.0902416681769886,97.34403953057443,0.0792546510472711,True,True
VGG19,32, '0.001',22,96.60624758966448,0.0916382777906055,97.467572575664,0.0703546712701448,True,True
VGG19,32, '0.001',23,96.7682221365214,0.0909049969083793,97.0969734403953,0.0731302721953183,True,True
VGG19,32, '0.001',24,96.76050906286154,0.0874280394519463,97.467572575664,0.0720834360451108,True,True
VGG19,32, '0.001',25,96.62938681064404,0.0903267610171268,97.467572575664,0.0642519418301982,True,True
VGG19,32, '0.001',26,96.67566525260315,0.0892488488981533,97.52933909820877,0.0679944973103998,True,True
VGG19,32, '0.001',27,96.87620516775937,0.086574768603394,97.467572575664,0.0685124978612578,True,True
VGG19,32, '0.001',28,96.77593521018126,0.0917295771057424,97.7764051883879,0.0632079697765327,True,True
VGG19,32, '0.001',29,96.8839182414192,0.0832120642189872,97.59110562075357,0.0654423843424963,True,True
VGG19,32, '0.001',30,97.06131893559584,0.0798513001453801,97.28227300802963,0.0701626838671669,True,True
VGG19,32, '0.001',31,96.99190127265716,0.0857802912899123,97.52933909820877,0.072353273020959,True,True
VGG19,32, '0.001',32,96.78364828384112,0.0872829756802727,97.7764051883879,0.0675472874508533,True,True
VGG19,32, '0.001',33,97.01504049363672,0.0855273804220192,97.467572575664,0.0669112132885607,True,True
VGG19,32, '0.001',34,97.42383339760896,0.0720512170351472,98.64113650401482,0.0519002777538273,True,True
VGG19,32, '0.001',35,97.5163902815272,0.0652841675368234,98.20877084620136,0.0534130368496156,True,True
VGG19,32, '0.001',36,97.9791747011184,0.0607157064477908,98.45583693638048,0.0526770630479886,True,True
VGG19,32, '0.001',37,97.94832240647898,0.0589561982434747,98.45583693638048,0.0523970591057863,True,True
VGG19,32, '0.001',38,97.69379097570382,0.0643146884672944,98.3940704138357,0.0520413666947884,True,True
VGG19,32, '0.001',39,97.93289625915928,0.059461931359961,98.45583693638048,0.0518338248158911,True,True
VGG19,32, '0.001',40,98.14114924797532,0.0559787348284399,98.27053736874612,0.0508710907403534,True,True
VGG19,32, '0.001',41,98.07173158503664,0.0571821814628313,98.57936998147004,0.050531414027158,True,True
VGG19,32, '0.001',42,97.8326263015812,0.0589818471149206,98.27053736874612,0.0511261428045519,True,True
VGG19,32, '0.001',43,98.00231392209795,0.0549091443046984,98.27053736874612,0.0518998010917201,True,True
VGG19,32, '0.001',44,98.0100269957578,0.0576424482344475,98.20877084620136,0.0531376767999152,True,True
VGG19,32, '0.001',45,98.02545314307751,0.0570897849871928,98.45583693638048,0.0502695829125906,True,True
VGG19,32, '0.001',46,98.17200154261474,0.0523152460748148,98.14700432365656,0.0519348534450246,True,True
VGG19,32, '0.001',47,98.08715773235636,0.0555818620659158,98.27053736874612,0.0528750333201149,True,True
VGG19,32, '0.001',48,98.0948708060162,0.0581127817861809,98.14700432365656,0.0529735011559929,True,True
VGG19,32, '0.001',49,98.08715773235636,0.053936895785344,98.14700432365656,0.0495045052485497,True,True
VGG19,32, '0.001',50,98.04087929039724,0.0558528529375153,98.27053736874612,0.0508755947267476,True,True
VGG19,32, '0.0001',1,88.02159660624758,0.3642342176765497,94.68807906114884,0.1679452433360412,True,True
VGG19,32, '0.0001',2,93.03509448515231,0.2040571733263179,94.13218035824583,0.165291893478556,True,True
VGG19,32, '0.0001',3,94.10721172387196,0.1723042013297967,95.55281037677578,0.1251521393583685,True,True
VGG19,32, '0.0001',4,94.38488237562667,0.1544905699229813,95.55281037677578,0.1216701764850786,True,True
VGG19,32, '0.0001',5,94.69340532202082,0.1457053314288848,95.73810994441013,0.1208165088969775,True,True
VGG19,32, '0.0001',6,95.20246818357116,0.1416273909836567,96.23224212476838,0.1053885998861754,True,True
VGG19,32, '0.0001',7,95.27959892016968,0.1308164894076183,96.7881408276714,0.0994484410278827,True,True
VGG19,32, '0.0001',8,95.77323563440032,0.1212539584926453,96.54107473749228,0.1005560265278772,True,True
VGG19,32, '0.0001',9,95.73467026610103,0.1220478473088974,96.60284126003704,0.1030964632701201,True,True
VGG19,32, '0.0001',10,95.90435788661782,0.1141488646166261,96.7881408276714,0.0874339509561347,True,True
VGG19,32, '0.0001',11,96.05861935981488,0.1088096227960229,96.97344039530574,0.0843049720107742,True,True
VGG19,32, '0.0001',12,95.94292325491708,0.1109869301346649,97.03520691785052,0.0820457382862657,True,True
VGG19,32, '0.0001',13,96.03548013883533,0.1077199414248573,96.60284126003704,0.0889681934735135,True,True
VGG19,32, '0.0001',14,95.9583494022368,0.1066078528683871,96.72637430512664,0.0842564573246693,True,True
VGG19,32, '0.0001',15,96.25144620131124,0.100948998245773,95.92340951204449,0.1074409163454273,True,True
VGG19,32, '0.0001',16,96.104897801774,0.1044492075905625,95.79987646695491,0.1025786523789386,True,True
VGG19,32, '0.0001',17,96.38256845352872,0.0978253843168741,97.4058060531192,0.075746433154278,True,True
VGG19,32, '0.0001',18,96.56768222136522,0.0971074201951716,97.34403953057443,0.0717365497117748,True,True
