batch_size,named_list,epoch,train_accuracy,train_loss,validation_accuracy,validation_loss,with_ReduceLROnPlateau,with_weight_deacay
64,3e-05,50,93.3898958735056,0.18124486927144925,92.71155033971587,0.2048987397697951,True,False
64,3e-05,51,93.22792132664867,0.17952192189364596,91.59975293390983,0.22861310994574943,True,False
64,3e-05,52,93.72927111453915,0.17140927657558414,93.51451513279802,0.18837241935006416,True,False
64,3e-05,53,93.49787890474354,0.172783085645126,91.3526868437307,0.24218753864093182,True,False
64,3e-05,54,93.54415734670266,0.16822891708078055,92.46448424953675,0.20943418864380176,True,False
64,3e-05,55,93.51330505206325,0.1704784770464075,93.20568252007412,0.19757658785350102,True,False
64,3e-05,56,93.90667180871577,0.16503587934037148,93.8851142680667,0.17538610594895615,True,False
64,3e-05,57,93.49016583108369,0.1701136767644013,92.958616429895,0.20298448699423505,True,False
64,3e-05,58,93.81411492479754,0.16616766488757626,93.39098208770847,0.18503118221549533,True,False
64,3e-05,59,93.8526802930968,0.16248082200735073,91.9703520691785,0.23221584080042354,True,False
64,3e-05,60,94.0686463555727,0.16449907866164382,93.20568252007412,0.19083783870099488,True,False
64,3e-05,61,93.92981102969533,0.16620241850614548,92.52625077208153,0.2054975260689389,True,False
64,3e-05,62,94.04550713459314,0.15787177797168347,92.958616429895,0.2031326612469946,True,False
64,3e-05,63,94.16891631315079,0.15594813994732984,93.51451513279802,0.18652434982113147,True,False
64,3e-05,64,94.3000385653683,0.1539613436999286,93.20568252007412,0.20380486617936044,True,False
64,3e-05,50,93.45160046278441,0.1769028607517334,92.3409512044472,0.21290254864232758,True,True
64,3e-05,51,93.22020825298881,0.17922650974959575,92.6497838171711,0.20835829587304033,True,True
64,3e-05,52,93.47473968376399,0.17385155852572085,93.08214947498456,0.19437595082294698,True,True
64,3e-05,53,93.57500964134208,0.17317402093061085,91.3526868437307,0.23822594186528406,True,True
64,3e-05,54,93.55187042036252,0.17459832306198886,93.08214947498456,0.19257390544449804,True,True
64,3e-05,55,93.6212880833012,0.17610359344209356,93.20568252007412,0.1949184671527921,True,True
64,3e-05,56,93.82182799845738,0.16724309958334038,93.2674490426189,0.1867262517099824,True,True
64,3e-05,57,93.82182799845738,0.16699701993556446,93.08214947498456,0.18732852835035793,True,True
64,3e-05,58,93.79097570381798,0.17067149061287565,91.47621988882025,0.24294291207479546,True,True
64,3e-05,59,93.736984188199,0.16884435889462532,93.32921556516368,0.18088041275041178,True,True
64,3e-05,60,93.9838025453143,0.1655620225691443,93.20568252007412,0.19241536655877448,True,True
64,3e-05,61,93.99151561897416,0.16718056533724215,93.51451513279802,0.19447140304356042,True,True
64,3e-05,62,93.67527959892017,0.164334385394316,92.71155033971587,0.20381817342814218,True,True
64,3e-05,63,94.20748168145006,0.15908056842576107,93.94688079061149,0.16943853405106124,True,True
64,3e-05,64,93.69841881989973,0.16874414957656061,94.00864731315627,0.17043086950322434,True,True
64,3e-05,65,94.01465483995372,0.16104213928280792,93.94688079061149,0.16981430049026341,True,True
64,3e-05,66,94.25376012340918,0.1560542350956078,93.20568252007412,0.19587846189013083,True,True
64,3e-05,67,94.09949865021211,0.15850344059869573,93.57628165534281,0.17262351571039639,True,True
64,3e-05,68,94.32317778634786,0.1519381933721709,93.8851142680667,0.17475810064108652,True,True
64,3e-05,69,94.83224064789819,0.14403933947309486,94.07041383570105,0.1701746839957755,True,True
64,3e-05,70,94.7473968376398,0.14055699856924306,93.76158122297714,0.1778836284893959,True,True
64,3e-05,71,94.83224064789819,0.14005927736022203,93.82334774552193,0.1786232126858242,True,True
