model,batch_size,learning_rate,epoch,train_accuracy,train_loss,validation_accuracy,validation_loss,with_ReduceLROnPlateau,with_weight_decay
GiMaTag,32,0.003,1,40.18511376783648,1.6078741212783776,57.6899320568252,0.9429633307690714,False,False
GiMaTag,32,0.003,2,44.75125337446973,1.1274859281302674,59.85176034589253,0.9330127508032556,False,False
GiMaTag,32,0.003,3,46.34785962205939,1.1086583564727766,58.9870290302656,0.8742581912699867,False,False
GiMaTag,32,0.003,4,47.9367527959892,1.0695213538966155,63.49598517603459,0.8078260309263772,False,False
GiMaTag,32,0.003,5,48.40725028924026,1.0664858301284863,65.90487955528104,0.7704518465142624,False,False
GiMaTag,32,0.003,6,50.47435403008099,1.043960370894136,64.79308214947498,0.7093756369808141,False,False
GiMaTag,32,0.003,7,50.72888546085615,1.033699721391565,69.42557134033353,0.7237232131700889,False,False
GiMaTag,32,0.003,8,52.8576937909757,1.0207567875608434,71.40210006176652,0.7628974540560853,False,False
GiMaTag,32,0.003,9,55.03278056305438,1.0001770743889171,67.14021000617666,0.8667620537327785,False,False
GiMaTag,32,0.003,10,55.78094870806016,0.997991439010122,72.7609635577517,0.6889814435340026,False,False
GiMaTag,32,0.003,11,56.62938681064404,0.9802996492738209,71.40210006176652,0.7568370019103966,False,False
GiMaTag,32,0.003,12,57.02275356729657,0.985506861374296,73.99629400864731,0.7065233019929306,False,False
GiMaTag,32,0.003,13,57.4315464712688,0.9827634044762316,73.87276096355775,0.7186943047186908,False,False
GiMaTag,32,0.003,14,58.02545314307751,0.9698955685340712,74.49042618900556,0.6950617959248084,False,False
GiMaTag,32,0.003,15,59.05129193983802,0.9491110577665526,75.10809141445337,0.6742388080513361,False,False
GiMaTag,32,0.003,16,58.80447358272272,0.9525917724435552,76.03458925262508,0.685463573856681,False,False
GiMaTag,32,0.003,17,59.09757038179715,0.9397995724466632,77.57875231624459,0.638062811237486,False,False
GiMaTag,32,0.003,18,58.80447358272272,0.944744648457748,76.5904879555281,0.6590676934768757,False,False
GiMaTag,32,0.003,19,59.166988044735824,0.9336624327551556,76.77578752316245,0.6147049377243236,False,False
GiMaTag,32,0.003,20,59.23640570767451,0.9430825378507228,77.26991970352069,0.6367860966562933,False,False
GiMaTag,32,0.003,21,59.2055534130351,0.9404868390319384,77.76405188387893,0.5975869610248243,False,False
GiMaTag,32,0.003,22,59.56035480138836,0.9385821556516468,78.5052501544163,0.5993230978903525,False,False
GiMaTag,32,0.003,23,59.68376397994601,0.9263333369945658,77.33168622606547,0.5873352045321143,False,False
GiMaTag,32,0.003,24,59.67605090628616,0.9265658156625156,78.8140827671402,0.5911746630627736,False,False
GiMaTag,32,0.003,25,59.244118781334365,0.936789845598155,76.52872143298332,0.675883937937518,False,False
GiMaTag,32,0.003,26,59.83802545314308,0.9275073545613312,78.01111797405807,0.6312789168281883,False,False
GiMaTag,32,0.003,27,60.532202082529885,0.918293479481354,77.45521927115503,0.62038349619537,False,False
GiMaTag,32,0.003,28,63.054377169301965,0.8689726169767051,78.01111797405807,0.5837370653387944,False,False
GiMaTag,32,0.003,29,63.38603933667567,0.8635164092620605,76.89932056825201,0.6248975900802465,False,False
GiMaTag,32,0.003,30,63.64057076745083,0.8539783027518559,77.94935145151328,0.5961596812980419,False,False
GiMaTag,32,0.003,31,63.67142306209024,0.8526210080960701,78.62878319950586,0.5875913245265609,False,False
GiMaTag,32,0.003,32,64.08021596606248,0.8045153920286394,76.89932056825201,0.5717177955215198,False,False
GiMaTag,32,0.003,33,64.23447743925955,0.771572296769161,87.64669549104386,0.4375456246049782,False,False
GiMaTag,32,0.003,34,65.06748939452372,0.7503661222645802,88.7584928968499,0.4797393872582938,False,False
GiMaTag,32,0.003,35,64.52757423833397,0.7624595946279066,79.43174799258801,0.4072767140015083,False,False
GiMaTag,32,0.003,36,65.01349787890474,0.7508465572090571,90.11735639283508,0.4288933655776668,False,False
