model,batch_size,learning_rate,epoch,train_accuracy,train_loss,validation_accuracy,validation_loss,with_ReduceLROnPlateau,with_weight_decay
VGG19,31,1e-07,-1,-1.0,-1.0,-1.0,-1.0,False,False
VGG19,64,0.001,1,86.6101041264944,0.4080468667258183,94.1939468807906,0.1757661033994876,True,True
VGG19,64,0.001,2,86.6101041264944,0.4080468667258183,94.1939468807906,0.1757661033994876,True,True
VGG19,64,0.001,2,92.56459699190128,0.2138714669593449,94.62631253860408,0.1515364126087381,True,True
VGG19,64,0.001,3,86.6101041264944,0.4080468667258183,94.1939468807906,0.1757661033994876,True,True
VGG19,64,0.001,3,92.56459699190128,0.2138714669593449,94.62631253860408,0.1515364126087381,True,True
VGG19,64,0.001,3,93.56729656768222,0.1819980592636639,95.92340951204449,0.1264081702460176,True,True
VGG19,64,0.001,4,86.6101041264944,0.4080468667258183,94.1939468807906,0.1757661033994876,True,True
VGG19,64,0.001,4,92.56459699190128,0.2138714669593449,94.62631253860408,0.1515364126087381,True,True
VGG19,64,0.001,4,93.56729656768222,0.1819980592636639,95.92340951204449,0.1264081702460176,True,True
VGG19,64,0.001,4,94.29232549170844,0.1626022808033551,94.50277949351452,0.140073641991386,True,True
VGG19,64,0.001,5,86.6101041264944,0.4080468667258183,94.1939468807906,0.1757661033994876,True,True
VGG19,64,0.001,5,92.56459699190128,0.2138714669593449,94.62631253860408,0.1515364126087381,True,True
VGG19,64,0.001,5,93.56729656768222,0.1819980592636639,95.92340951204449,0.1264081702460176,True,True
VGG19,64,0.001,5,94.29232549170844,0.1626022808033551,94.50277949351452,0.140073641991386,True,True
VGG19,64,0.001,5,95.0636328576938,0.1464533407075945,95.92340951204449,0.1144904079488836,True,True
VGG19,64,0.001,1,85.83879676050907,0.4271794374059574,93.63804817788758,0.1985674254023111,True,True
VGG19,64,0.001,2,85.83879676050907,0.4271794374059574,93.63804817788758,0.1985674254023111,True,True
VGG19,64,0.001,2,92.42576166602392,0.2168072504289631,95.36751080914144,0.1455607766357179,True,True
VGG19,64,0.001,1,85.83108368684921,0.4211694543144386,93.5762816553428,0.1854748063219281,True,True
VGG19,64,0.001,2,85.83108368684921,0.4211694543144386,93.5762816553428,0.1854748063219281,True,True
VGG19,64,0.001,2,92.67258002313922,0.2155130909287871,95.36751080914144,0.1423286819973817,True,True
VGG19,64,0.001,3,85.83108368684921,0.4211694543144386,93.5762816553428,0.1854748063219281,True,True
VGG19,64,0.001,3,92.67258002313922,0.2155130909287871,95.36751080914144,0.1423286819973817,True,True
VGG19,64,0.001,3,93.59043578866178,0.1859833161745752,95.73810994441013,0.1285464417619201,True,True
VGG19,64,0.001,4,85.83108368684921,0.4211694543144386,93.5762816553428,0.1854748063219281,True,True
VGG19,64,0.001,4,92.67258002313922,0.2155130909287871,95.36751080914144,0.1423286819973817,True,True
VGG19,64,0.001,4,93.59043578866178,0.1859833161745752,95.73810994441013,0.1285464417619201,True,True
