batch_size,named_list,epoch,train_accuracy,train_loss,validation_accuracy,validation_loss
32,0.001,1,41.40377940609333,1.3161268922789344,67.75787523162445,0.8774833346114439
32,0.001,2,51.546471268800616,1.0529677223395832,73.0697961704756,0.8097635595237508
32,0.001,3,54.69340532202082,1.0132857878219905,72.7609635577517,0.8390949166872922
32,0.001,4,56.51369070574624,0.9817681065921126,75.84928968499074,0.7742398265822261
32,0.001,5,61.58889317392981,0.9237670399285303,79.24644842495367,0.708994756434478
32,0.001,6,63.077516390281524,0.8846018743045224,77.8875849289685,0.6745830553894242
32,0.001,7,67.99845738526803,0.8136646600779641,86.04076590487955,0.5988746595148947
32,0.001,8,73.02738141149248,0.7071453260964361,88.51142680667078,0.3833090177207601
32,0.001,9,77.40069417662939,0.5930709884745147,91.41445336627548,0.30457745872291864
32,0.001,10,79.97686077902044,0.550123349786392,89.25262507720815,0.2880831902444947
32,0.001,11,80.95642113382183,0.5225347303624811,91.10562075355158,0.2956592185130599
32,0.001,12,83.50173544157347,0.4826330877657007,92.3409512044472,0.24731261916823832
32,0.001,13,84.43501735441573,0.4486036248541818,93.76158122297714,0.21462864837353574
32,0.001,14,84.8206710374084,0.43247642320365154,87.77022853613342,0.35241148100398917
32,0.001,15,86.47126880061704,0.39890867673557967,93.76158122297714,0.19597423751267842
32,0.001,16,87.01889703046665,0.39018382809212054,93.94688079061149,0.21188757595989635
32,0.001,17,88.60779020439645,0.3542862955315653,93.20568252007412,0.24143121188264524
32,0.001,18,89.87273428461242,0.3157094479744951,92.89684990735022,0.21529457353137652
32,0.001,19,89.09371384496723,0.32664694510437,94.93514515132799,0.18219987690784312
32,0.001,20,90.42807558812187,0.3001255788312757,94.74984558369364,0.16218250973707102
32,0.001,21,90.48978017740069,0.29209626633031616,95.1822112415071,0.16198865730913503
32,0.001,22,90.67489394523717,0.28525215964489087,94.13218035824583,0.20012574798402413
32,0.001,23,91.32279213266487,0.26967896090756205,95.1822112415071,0.17644109201222924
32,0.001,24,91.35364442730427,0.2619354002030906,94.93514515132799,0.18047160225707523
32,0.001,25,91.5156189741612,0.2565298781918334,95.49104385423101,0.14972328965150689
32,0.001,26,91.70844581565754,0.26352818114820664,93.82334774552193,0.20376537108099643
32,0.001,27,89.89587350559198,0.29340138613920785,93.20568252007412,0.18741823225647358
32,0.001,28,92.11723871962977,0.2399650385529904,95.98517603458926,0.12716513391077408
32,0.001,29,92.87311993829542,0.22750886213584928,95.61457689932057,0.14824042673705
32,0.001,30,92.33320478210567,0.23897724500467332,94.74984558369364,0.17568829930478744
32,0.001,31,92.71114539143849,0.22758336438627666,95.42927733168622,0.14147442748984687
32,0.001,32,92.80370227535673,0.21983885049379517,96.04694255713403,0.1465100948521913
